,X5.FLUOROURACIL,AZ960,AZD2014,AZD4547,AZD5363,AZD5438,AZD6482,AZD7762,AZD8055,BI.2536,BIBR.1532,BMS.345541,BMS.754807,GSK1904529A,I.BET.762,LY2109761,MG.132,MK.1775,MK.2206,OSI.027,OTX015,P22077,PLX.4720,PRT062607,VE.822,AFATINIB,ALISERTIB,ALPELISIB,AXITINIB,BORTEZOMIB,BUPARLISIB,CAMPTOTHECIN,CARMUSTINE,CEDIRANIB,CISPLATIN,CRIZOTINIB,CYCLOPHOSPHAMIDE,CYTARABINE,DABRAFENIB,DASATINIB,DINACICLIB,DOCETAXEL,ENTINOSTAT,EPIRUBICIN,ERLOTINIB,FLUDARABINE,FORETINIB,FULVESTRANT,GEFITINIB,GEMCITABINE,IBRUTINIB,IRINOTECAN,LAPATINIB,LINSITINIB,MITOXANTRONE,NAVITOCLAX,NELARABINE,NILOTINIB,NIRAPARIB,OLAPARIB,OSIMERTINIB,OXALIPLATIN,PACLITAXEL,PALBOCICLIB,PEVONEDISTAT,RIBOCICLIB,RUXOLITINIB,SELUMETINIB,SORAFENIB,TALAZOPARIB,TAMOXIFEN,TASELISIB,TEMOZOLOMIDE,TENIPOSIDE,TOPOTECAN,TOZASERTIB,TRAMETINIB,UPROSERTIB,VENETOCLAX,VINBLASTINE,VINCRISTINE,VINORELBINE,VORINOSTAT
DATA.687457,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687459,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687505,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,sensitive,resistant,sensitive
DATA.687506,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant
DATA.687514,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant
DATA.687561,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant
DATA.687562,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant
DATA.687563,sensitive,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant
DATA.687568,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687586,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant
DATA.687588,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687590,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687600,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant
DATA.687777,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687780,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687787,resistant,sensitive,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant
DATA.687798,sensitive,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,sensitive,resistant,sensitive,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,sensitive,sensitive,sensitive,sensitive,sensitive,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687799,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant
DATA.687800,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687802,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant
DATA.687807,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687812,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687815,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,sensitive,sensitive,resistant,sensitive,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant
DATA.687816,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687819,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
DATA.687820,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,sensitive,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant
